sample	region	M1	MU1
MEDAL-115_PLA_F3	3:147124247-147124423	102	3705
MEDAL-115_PLA_F3	3:148415351-148415557	193	8276
MEDAL-115_PLA_F3	3:157155872-157156215	134	12749
MEDAL-115_PLA_F3	3:157821523-157821703	118	7174
MEDAL-115_PLA_F3	3:167966605-167966711	16	4060
MEDAL-115_PLA_F3	3:170137185-170137558	250	16973
MEDAL-115_PLA_F3	3:172166067-172166329	992	16114
MEDAL-115_PLA_F3	3:172167562-172167645	412	7865
MEDAL-115_PLA_F3	3:179754778-179754981	134	5303
MEDAL-115_PLA_F3	3:181414268-181414279	25	259
MEDAL-115_PLA_F3	3:189837987-189838255	199	9349
MEDAL-115_PLA_F3	3:192126868-192127118	18	3087
MEDAL-115_PLA_F3	3:192232068-192232241	216	5685
MEDAL-115_PLA_F3	4:1396437-1396604	90	7244
MEDAL-115_PLA_F3	4:4389336-4389515	7	1560
MEDAL-115_PLA_F3	4:5890472-5890695	172	13590
MEDAL-115_PLA_F3	4:7657470-7657488	177	1773
MEDAL-115_PLA_F3	4:13549435-13549709	147	12626
MEDAL-115_PLA_F3	4:16085436-16085575	33	6422
MEDAL-115_PLA_F3	4:17783401-17783488	50	1589
MEDAL-115_PLA_F3	4:21950031-21950323	261	11854
MEDAL-115_PLA_F3	4:27086443-27086658	95	20787
MEDAL-115_PLA_F3	4:37246145-37246401	184	13874
MEDAL-115_PLA_F3	4:41751898-41751998	337	2240
MEDAL-115_PLA_F3	4:41882559-41882704	613	10307
MEDAL-115_PLA_F3	4:46391519-46391651	55	4241
MEDAL-115_PLA_F3	4:54975757-54975851	32	3482
MEDAL-115_PLA_F3	4:55098316-55098530	86	12997
MEDAL-115_PLA_F3	4:56914892-56915005	7	4129
MEDAL-115_PLA_F3	4:57521925-57522077	37	7416
MEDAL-115_PLA_F3	4:62065879-62065973	8	2225
MEDAL-115_PLA_F3	4:75230896-75231067	37	9334
MEDAL-115_PLA_F3	4:81106757-81106824	22	1374
MEDAL-115_PLA_F3	4:81189744-81189781	88	1876
MEDAL-115_PLA_F3	4:85404065-85404272	140	9296
MEDAL-115_PLA_F3	4:90757606-90757791	32	4405
MEDAL-115_PLA_F3	4:93224911-93225170	248	31595
MEDAL-115_PLA_F3	4:107957260-107957458	161	14262
MEDAL-115_PLA_F3	4:108853128-108853353	110	14635
MEDAL-115_PLA_F3	4:110223747-110224140	174	25390
MEDAL-115_PLA_F3	4:121994232-121994294	26	1207
MEDAL-115_PLA_F3	4:134068473-134068605	91	4051
MEDAL-115_PLA_F3	4:134069501-134069644	79	6132
MEDAL-115_PLA_F3	4:148402069-148402288	299	8918
MEDAL-115_PLA_F3	4:154709784-154710052	217	19106
MEDAL-115_PLA_F3	4:156129720-156129872	131	5599
MEDAL-115_PLA_F3	4:164264781-164264963	201	7778
MEDAL-115_PLA_F3	4:166795768-166795919	9	453
MEDAL-115_PLA_F3	4:172734687-172734849	91	9375
MEDAL-115_PLA_F3	4:174450237-174450531	151	9617
MEDAL-115_PLA_F3	4:174451866-174452090	496	11791
MEDAL-115_PLA_F3	4:184826195-184826591	157	35558
MEDAL-115_PLA_F3	4:185942081-185942253	91	1942
MEDAL-115_PLA_F3	4:186048567-186048883	387	15585
MEDAL-115_PLA_F3	4:188916552-188916635	338	2402
MEDAL-115_PLA_F3	5:1882835-1883099	225	11737
MEDAL-115_PLA_F3	5:1883768-1884071	101	10637
MEDAL-115_PLA_F3	5:7396805-7396865	3	442
MEDAL-115_PLA_F3	5:16179933-16180189	470	10661
MEDAL-115_PLA_F3	5:17218846-17219245	93	11575
MEDAL-115_PLA_F3	5:31193839-31194014	22	4420
MEDAL-115_PLA_F3	5:35618141-35618234	46	7898
MEDAL-115_PLA_F3	5:36690203-36690254	149	2932
MEDAL-115_PLA_F3	5:38257417-38257561	106	7161
MEDAL-115_PLA_F3	5:42424358-42424431	2	522
MEDAL-115_PLA_F3	5:42992608-42993113	59	13701
MEDAL-115_PLA_F3	5:50679671-50679823	78	2124
MEDAL-115_PLA_F3	5:72529811-72529875	369	9373
MEDAL-115_PLA_F3	5:72595553-72595631	266	4383
MEDAL-115_PLA_F3	5:72716069-72716172	81	2311
MEDAL-115_PLA_F3	5:75379795-75379922	82	3718
MEDAL-115_PLA_F3	5:76012568-76012763	16	3067
MEDAL-115_PLA_F3	5:76924020-76924099	153	2527
MEDAL-115_PLA_F3	5:76934414-76934673	38	2129
MEDAL-115_PLA_F3	5:77268937-77268961	540	4438
MEDAL-115_PLA_F3	5:113391388-113391474	34	3165
MEDAL-115_PLA_F3	5:128795909-128796112	103	18959
MEDAL-115_PLA_F3	5:134880231-134880493	207	8675
MEDAL-115_PLA_F3	5:135265722-135266104	228	9745
MEDAL-115_PLA_F3	5:139422991-139423155	35	6316
MEDAL-115_PLA_F3	5:153857666-153857807	95	5047
MEDAL-115_PLA_F3	5:153862048-153862456	811	44341
MEDAL-115_PLA_F3	5:155108523-155108703	88	3773
MEDAL-115_PLA_F3	5:157098373-157098563	160	20743
MEDAL-115_PLA_F3	5:159738721-159738968	215	11192
MEDAL-115_PLA_F3	5:160975735-160975962	188	5433
MEDAL-115_PLA_F3	5:168727747-168727935	42	4491
MEDAL-115_PLA_F3	5:170736484-170736738	615	16487
MEDAL-115_PLA_F3	5:170739084-170739350	186	23368
MEDAL-115_PLA_F3	5:170742668-170742756	319	3755
MEDAL-115_PLA_F3	5:170745534-170745605	359	682
MEDAL-115_PLA_F3	5:172670825-172671038	659	12671
MEDAL-115_PLA_F3	5:173846119-173846335	506	11427
MEDAL-115_PLA_F3	5:174178858-174179020	710	3741
MEDAL-115_PLA_F3	5:175084647-175084896	17	2071
MEDAL-115_PLA_F3	5:175299793-175300004	68	3220
MEDAL-115_PLA_F3	5:175793137-175793210	52	1555
MEDAL-115_PLA_F3	5:178487460-178487556	4	1205
MEDAL-115_PLA_F3	5:178771309-178771557	144	12652
MEDAL-115_PLA_F3	6:391184-391357	76	4853
MEDAL-115_PLA_F3	6:393279-393407	141	6386
MEDAL-115_PLA_F3	6:5996111-5996418	712	10420
MEDAL-115_PLA_F3	6:5997112-5997290	133	14814
MEDAL-115_PLA_F3	6:6004226-6004298	116	12315
MEDAL-115_PLA_F3	6:6007254-6007418	38	3553
MEDAL-115_PLA_F3	6:10415733-10415903	975	8851
MEDAL-115_PLA_F3	6:10886893-10887053	77	8180
MEDAL-115_PLA_F3	6:24910854-24911377	41	9049
MEDAL-115_PLA_F3	6:26043780-26043826	19	1041
MEDAL-115_PLA_F3	6:26217005-26217232	3	1884
MEDAL-115_PLA_F3	6:26271711-26271890	8	1103
MEDAL-115_PLA_F3	6:27235699-27235940	1019	12117
MEDAL-115_PLA_F3	6:27279856-27280089	447	21326
MEDAL-115_PLA_F3	6:27463042-27463256	518	8959
MEDAL-115_PLA_F3	6:27858463-27858643	49	5303
MEDAL-115_PLA_F3	6:28175565-28175745	57	5261
MEDAL-115_PLA_F3	6:28303760-28303953	29	11241
MEDAL-115_PLA_F3	6:28411111-28411345	99	19372
MEDAL-115_PLA_F3	6:28602614-28602797	150	6698
MEDAL-115_PLA_F3	6:28626470-28626513	10	574
MEDAL-115_PLA_F3	6:28642241-28642472	360	16218
MEDAL-115_PLA_F3	6:28979042-28979087	1	226
MEDAL-115_PLA_F3	6:29596724-29596934	79	8125
MEDAL-115_PLA_F3	6:30449004-30449074	10	510
MEDAL-115_PLA_F3	6:30646921-30647110	20	2632
MEDAL-115_PLA_F3	6:36807149-36807365	64	3926
MEDAL-115_PLA_F3	6:37673489-37673768	210	4802
MEDAL-115_PLA_F3	6:39281099-39281355	279	21091
MEDAL-115_PLA_F3	6:41339518-41339554	4	1950
MEDAL-115_PLA_F3	6:41606175-41606492	211	31581
MEDAL-115_PLA_F3	6:78173186-78173378	45	8813
MEDAL-115_PLA_F3	6:84418759-84418963	72	6432
MEDAL-115_PLA_F3	6:84562773-84563102	731	29733
MEDAL-115_PLA_F3	6:85474443-85474591	292	6345
MEDAL-115_PLA_F3	6:88877122-88877226	24	2203
MEDAL-115_PLA_F3	6:91321014-91321138	18	3160
MEDAL-115_PLA_F3	6:99272057-99272248	212	4830
MEDAL-115_PLA_F3	6:100037493-100037549	356	4049
MEDAL-115_PLA_F3	6:100050968-100051256	723	18368
MEDAL-115_PLA_F3	6:100054580-100054757	332	3860
MEDAL-115_PLA_F3	6:100060874-100061236	2148	37061
MEDAL-115_PLA_F3	6:100067028-100067124	456	8310
MEDAL-115_PLA_F3	6:100909010-100909408	1025	21054
MEDAL-115_PLA_F3	6:106442491-106442606	6	2161
MEDAL-115_PLA_F3	6:108488362-108488436	277	3317
MEDAL-115_PLA_F3	6:110678959-110679280	77	9082
MEDAL-115_PLA_F3	6:114177197-114177660	110	9365
MEDAL-115_PLA_F3	6:130686841-130686990	30	5611
MEDAL-115_PLA_F3	6:133561730-133562645	311	29202
MEDAL-115_PLA_F3	6:137242057-137242197	146	6596
MEDAL-115_PLA_F3	6:137311359-137311372	22	651
MEDAL-115_PLA_F3	6:150311477-150311645	268	12559
MEDAL-115_PLA_F3	6:152623256-152623393	4	2153
MEDAL-115_PLA_F3	6:160769736-160769856	240	13658
MEDAL-115_PLA_F3	6:166421868-166422002	436	9313
MEDAL-115_PLA_F3	6:166580826-166580938	383	10698
MEDAL-115_PLA_F3	6:166582038-166582470	117	15507
MEDAL-115_PLA_F3	6:168226373-168226605	187	15264
MEDAL-115_PLA_F3	6:169653862-169653980	328	5873
MEDAL-115_PLA_F3	7:1271599-1271667	59	1639
MEDAL-115_PLA_F3	7:1272708-1272877	472	8572
MEDAL-115_PLA_F3	7:4998543-4998695	74	6172
MEDAL-115_PLA_F3	7:15726697-15726881	152	9729
MEDAL-115_PLA_F3	7:19146982-19147076	5	493
MEDAL-115_PLA_F3	7:19156733-19156918	34	6224
MEDAL-115_PLA_F3	7:19812439-19812450	9	266
MEDAL-115_PLA_F3	7:21209173-21209310	186	1058
MEDAL-115_PLA_F3	7:27190932-27191146	92	15362
MEDAL-115_PLA_F3	7:27196112-27196377	52	12543
MEDAL-115_PLA_F3	7:27205447-27205678	69	8451
MEDAL-115_PLA_F3	7:27213626-27213785	30	3978
MEDAL-115_PLA_F3	7:27242137-27242195	455	1348
MEDAL-115_PLA_F3	7:27282082-27282150	488	4496
MEDAL-115_PLA_F3	7:29185981-29186273	83	9743
MEDAL-115_PLA_F3	7:30722145-30722439	164	13735
MEDAL-115_PLA_F3	7:32110067-32110245	152	7337
MEDAL-115_PLA_F3	7:32338810-32339007	40	8330
MEDAL-115_PLA_F3	7:33943518-33943552	11	380
MEDAL-115_PLA_F3	7:35293583-35293765	105	10546
MEDAL-115_PLA_F3	7:37487458-37487639	11	5358
MEDAL-115_PLA_F3	7:42267697-42267864	105	13442
MEDAL-115_PLA_F3	7:43151981-43152149	68	4023
MEDAL-115_PLA_F3	7:44144264-44144512	398	8817
MEDAL-115_PLA_F3	7:49812956-49813166	172	24182
MEDAL-115_PLA_F3	7:49815193-49815379	34	7671
MEDAL-115_PLA_F3	7:54609485-54609712	172	5259
MEDAL-115_PLA_F3	7:64030072-64030263	479	22103
MEDAL-115_PLA_F3	7:65037620-65037779	51	11062
MEDAL-115_PLA_F3	7:75889122-75889283	546	8135
MEDAL-115_PLA_F3	7:84814493-84814612	83	1416
MEDAL-115_PLA_F3	7:84815374-84815608	55	6305
MEDAL-115_PLA_F3	7:87229717-87229974	44	9493
MEDAL-115_PLA_F3	7:87974705-87974777	176	3747
MEDAL-115_PLA_F3	7:89748065-89748181	30	3158
MEDAL-115_PLA_F3	7:96621880-96622048	171	4281
MEDAL-115_PLA_F3	7:96632708-96632856	876	8322
MEDAL-115_PLA_F3	7:96653693-96653840	66	5040
MEDAL-115_PLA_F3	7:98467242-98467310	10	890
MEDAL-115_PLA_F3	7:98990455-98990565	173	2657
MEDAL-115_PLA_F3	7:100823525-100823796	329	10218
MEDAL-115_PLA_F3	7:101006189-101006382	122	17146
MEDAL-115_PLA_F3	7:103629915-103630126	165	17860
MEDAL-115_PLA_F3	7:103630959-103631225	158	8634
MEDAL-115_PLA_F3	7:107301621-107301799	32	3447
MEDAL-115_PLA_F3	7:113722862-113723052	306	7746
MEDAL-115_PLA_F3	7:119912466-119912652	133	3180
MEDAL-115_PLA_F3	7:120970075-120970201	10	3432
MEDAL-115_PLA_F3	7:121941892-121941903	129	367
MEDAL-115_PLA_F3	7:121950113-121950435	575	21431
MEDAL-115_PLA_F3	7:121956469-121956812	580	17268
MEDAL-115_PLA_F3	7:128337578-128337829	287	15231
MEDAL-115_PLA_F3	7:132261242-132261424	94	11000
MEDAL-115_PLA_F3	7:133811770-133811946	227	8000
MEDAL-115_PLA_F3	7:137531063-137531348	132	11718
MEDAL-115_PLA_F3	7:139208059-139208292	464	6764
MEDAL-115_PLA_F3	7:140774174-140774336	26	5239
MEDAL-115_PLA_F3	7:142494449-142495253	264	43930
MEDAL-115_PLA_F3	7:145812841-145813147	39	9597
MEDAL-115_PLA_F3	7:148395176-148395350	13	3580
MEDAL-115_PLA_F3	7:151107497-151107668	64	7945
MEDAL-115_PLA_F3	7:152622257-152622305	71	647
MEDAL-115_PLA_F3	7:155164833-155164979	124	5868
MEDAL-115_PLA_F3	7:155166685-155166873	576	19726
MEDAL-115_PLA_F3	7:155170702-155170874	72	7095
MEDAL-115_PLA_F3	7:155246038-155246052	48	978
MEDAL-115_PLA_F3	7:155252549-155252754	533	11184
MEDAL-115_PLA_F3	7:155259519-155259977	366	37628
MEDAL-115_PLA_F3	7:155325807-155326040	159	15731
MEDAL-115_PLA_F3	7:155596018-155596295	1649	24889
MEDAL-115_PLA_F3	7:157482355-157482619	324	11266
MEDAL-115_PLA_F3	7:158936503-158936556	123	1505
MEDAL-115_PLA_F3	8:495913-495988	28	1110
MEDAL-115_PLA_F3	8:11562638-11562849	278	8664
MEDAL-115_PLA_F3	8:23572085-23572214	62	10261
MEDAL-115_PLA_F3	8:32078249-32078394	94	6308
MEDAL-115_PLA_F3	8:37823188-37823339	83	14325
MEDAL-115_PLA_F3	8:38965071-38965185	96	8159
MEDAL-115_PLA_F3	8:41625490-41625592	23	1497
MEDAL-115_PLA_F3	8:49293374-49293552	430	10413
MEDAL-115_PLA_F3	8:53478472-53478728	143	12640
MEDAL-115_PLA_F3	8:55366679-55366802	544	12128
MEDAL-115_PLA_F3	8:57069926-57070149	248	10859
MEDAL-115_PLA_F3	8:62200493-62200650	273	7557
MEDAL-115_PLA_F3	8:67873794-67873970	92	3090
MEDAL-115_PLA_F3	8:67874965-67875183	53	15333
MEDAL-115_PLA_F3	8:70982250-70982368	136	1544
MEDAL-115_PLA_F3	8:70984095-70984361	195	9565
MEDAL-115_PLA_F3	8:72468876-72469146	123	14822
MEDAL-115_PLA_F3	8:72755749-72755951	309	14350
MEDAL-115_PLA_F3	8:72756754-72756941	215	5384
MEDAL-115_PLA_F3	8:77585122-77585387	325	8664
MEDAL-115_PLA_F3	8:77595988-77595999	11	660
MEDAL-115_PLA_F3	8:85094737-85094848	140	3720
MEDAL-115_PLA_F3	8:85096897-85097252	1147	23370
MEDAL-115_PLA_F3	8:91803944-91804245	134	14945
MEDAL-115_PLA_F3	8:93114282-93114520	118	9476
MEDAL-115_PLA_F3	8:95246364-95246449	489	2775
MEDAL-115_PLA_F3	8:99439705-99439857	78	2789
MEDAL-115_PLA_F3	8:104153213-104153339	18	2797
MEDAL-115_PLA_F3	8:109094223-109094352	41	3713
MEDAL-115_PLA_F3	8:109095970-109096070	215	4041
MEDAL-115_PLA_F3	8:114444904-114445139	116	8167
MEDAL-115_PLA_F3	8:121137868-121138016	269	5581
MEDAL-115_PLA_F3	8:144242144-144242274	7	458
MEDAL-115_PLA_F3	8:145925592-145925773	695	9047
MEDAL-115_PLA_F3	9:842625-842775	896	9847
MEDAL-115_PLA_F3	9:14347622-14347797	49	8817
MEDAL-115_PLA_F3	9:23822494-23822714	316	5949
MEDAL-115_PLA_F3	9:37036418-37036661	311	15927
MEDAL-115_PLA_F3	9:89560915-89561053	128	10926
MEDAL-115_PLA_F3	9:100615028-100615150	56	961
MEDAL-115_PLA_F3	9:101706656-101706791	36	4230
MEDAL-115_PLA_F3	9:104248921-104249098	30	6295
MEDAL-115_PLA_F3	9:104500267-104500497	267	16428
MEDAL-115_PLA_F3	9:110228211-110228442	52	6632
MEDAL-115_PLA_F3	9:115653215-115653387	41	2730
MEDAL-115_PLA_F3	9:120176344-120176636	226	8974
MEDAL-115_PLA_F3	9:133534790-133534874	91	675
MEDAL-115_PLA_F3	9:133535623-133535759	295	15458
MEDAL-115_PLA_F3	9:139085423-139085543	74	4074
MEDAL-115_PLA_F3	9:140033389-140033538	1882	11530
MEDAL-115_PLA_F3	1:1935114-1935546	589	14803
MEDAL-115_PLA_F3	1:4716372-4716584	79	10048
MEDAL-115_PLA_F3	1:12123294-12123466	22	5194
MEDAL-115_PLA_F3	1:13910133-13910295	140	8070
MEDAL-115_PLA_F3	1:18967986-18968089	181	11007
MEDAL-115_PLA_F3	1:20669760-20669934	1318	9131
MEDAL-115_PLA_F3	1:20879639-20879787	209	6946
MEDAL-115_PLA_F3	1:22140841-22141055	176	18099
MEDAL-115_PLA_F3	1:37500379-37500683	145	14497
MEDAL-115_PLA_F3	1:43251115-43251409	265	16310
MEDAL-115_PLA_F3	1:44884041-44884172	58	3169
MEDAL-115_PLA_F3	1:46951232-46951651	438	18716
MEDAL-115_PLA_F3	1:47696740-47696936	50	8640
MEDAL-115_PLA_F3	1:47882340-47882489	137	5917
MEDAL-115_PLA_F3	1:50882012-50882254	409	9893
MEDAL-115_PLA_F3	1:50887059-50887143	316	2680
MEDAL-115_PLA_F3	1:50892648-50892958	359	15400
MEDAL-115_PLA_F3	1:50893642-50893808	355	8029
MEDAL-115_PLA_F3	1:57888409-57888767	101	5120
MEDAL-115_PLA_F3	1:57890211-57890453	61	8710
MEDAL-115_PLA_F3	1:62660601-62660907	2122	25009
MEDAL-115_PLA_F3	1:63785696-63785939	618	8990
MEDAL-115_PLA_F3	1:63792560-63792715	561	10502
MEDAL-115_PLA_F3	1:67217945-67218003	16	511
MEDAL-115_PLA_F3	1:70034538-70034658	23	2213
MEDAL-115_PLA_F3	1:82269517-82269606	49	1875
MEDAL-115_PLA_F3	1:91182703-91182862	1185	9971
MEDAL-115_PLA_F3	1:91184285-91184582	723	21388
MEDAL-115_PLA_F3	1:91185490-91185582	360	3686
MEDAL-115_PLA_F3	1:91190996-91191156	104	4612
MEDAL-115_PLA_F3	1:91194669-91194839	910	11366
MEDAL-115_PLA_F3	1:98510772-98511039	81	7642
MEDAL-115_PLA_F3	1:110610990-110611071	485	3490
MEDAL-115_PLA_F3	1:110626972-110627155	35	7277
MEDAL-115_PLA_F3	1:110693607-110693763	409	13666
MEDAL-115_PLA_F3	1:114697159-114697274	725	6189
MEDAL-115_PLA_F3	1:119528464-119528556	95	737
MEDAL-115_PLA_F3	1:119531200-119531278	256	786
MEDAL-115_PLA_F3	1:119550798-119551112	308	18974
MEDAL-115_PLA_F3	1:145075496-145075711	620	29752
MEDAL-115_PLA_F3	1:147775517-147775776	45	8102
MEDAL-115_PLA_F3	1:151693833-151694010	14	2045
MEDAL-115_PLA_F3	1:152085164-152085292	420	14563
MEDAL-115_PLA_F3	1:156815127-156815361	84	3327
MEDAL-115_PLA_F3	1:158082996-158083099	19	2028
MEDAL-115_PLA_F3	1:159141688-159141833	33	2586
MEDAL-115_PLA_F3	1:165204823-165205009	29	2650
MEDAL-115_PLA_F3	1:165323519-165323748	899	16190
MEDAL-115_PLA_F3	1:166134177-166134440	111	23324
MEDAL-115_PLA_F3	1:177134317-177134460	46	1390
MEDAL-115_PLA_F3	1:179560979-179561139	236	5468
MEDAL-115_PLA_F3	1:180204048-180204276	180	13240
MEDAL-115_PLA_F3	1:181287629-181287927	132	10152
MEDAL-115_PLA_F3	1:184005734-184005902	38	4921
MEDAL-115_PLA_F3	1:184006811-184006939	14	1163
MEDAL-115_PLA_F3	1:185014170-185014270	149	4082
MEDAL-115_PLA_F3	1:190444551-190444672	59	2793
MEDAL-115_PLA_F3	1:190447438-190447569	6	1440
MEDAL-115_PLA_F3	1:196577504-196577649	8	2237
MEDAL-115_PLA_F3	1:197888726-197888845	10	1376
MEDAL-115_PLA_F3	1:200011548-200011651	5	1655
MEDAL-115_PLA_F3	1:202678919-202679115	207	9662
MEDAL-115_PLA_F3	1:205425143-205425298	123	3892
MEDAL-115_PLA_F3	1:205819333-205819363	126	2617
MEDAL-115_PLA_F3	1:213124420-213124643	61	11415
MEDAL-115_PLA_F3	1:214360603-214360772	117	7600
MEDAL-115_PLA_F3	1:218520768-218520965	83	7778
MEDAL-115_PLA_F3	1:228633592-228633835	39	13594
MEDAL-115_PLA_F3	1:228651843-228651854	12	337
MEDAL-115_PLA_F3	1:236228586-236228887	487	16981
MEDAL-115_PLA_F3	1:237205831-237206014	96	7066
MEDAL-115_PLA_F3	1:240161076-240161243	168	4642
MEDAL-115_PLA_F3	1:240255314-240255492	82	8017
MEDAL-115_PLA_F3	1:244080841-244081203	188	22371
MEDAL-115_PLA_F3	1:244893394-244893518	60	7238
MEDAL-115_PLA_F3	10:1779506-1779736	94	9419
MEDAL-115_PLA_F3	10:7451683-7451881	29	6593
MEDAL-115_PLA_F3	10:7708695-7708963	121	7881
MEDAL-115_PLA_F3	10:8092000-8092200	108	9662
MEDAL-115_PLA_F3	10:15761688-15761789	36	2529
MEDAL-115_PLA_F3	10:22540652-22540830	14	7892
MEDAL-115_PLA_F3	10:22623951-22623989	370	1429
MEDAL-115_PLA_F3	10:22624495-22624669	137	16180
MEDAL-115_PLA_F3	10:22634532-22634611	7	389
MEDAL-115_PLA_F3	10:23463161-23463265	98	3182
MEDAL-115_PLA_F3	10:23484490-23484724	75	1012
MEDAL-115_PLA_F3	10:23984769-23984886	276	6715
MEDAL-115_PLA_F3	10:25464282-25464433	11	696
MEDAL-115_PLA_F3	10:25465489-25465602	16	1429
MEDAL-115_PLA_F3	10:26505435-26505673	457	20910
MEDAL-115_PLA_F3	10:28034039-28034178	210	16012
MEDAL-115_PLA_F3	10:43249919-43250093	33	6416
MEDAL-115_PLA_F3	10:50817635-50817728	76	3502
MEDAL-115_PLA_F3	10:54068324-54068750	886	35893
MEDAL-115_PLA_F3	10:57387895-57388018	26	2262
MEDAL-115_PLA_F3	10:57390156-57390458	91	8367
MEDAL-115_PLA_F3	10:71332575-71332868	150	8416
MEDAL-115_PLA_F3	10:72200439-72200717	447	21528
MEDAL-115_PLA_F3	10:94828098-94828271	121	12032
MEDAL-115_PLA_F3	10:101089420-101089572	14	2346
MEDAL-115_PLA_F3	10:101090012-101090146	40	5106
MEDAL-115_PLA_F3	10:101292432-101292559	8	1990
MEDAL-115_PLA_F3	10:101293623-101293817	46	3591
MEDAL-115_PLA_F3	10:102419048-102419101	34	1154
MEDAL-115_PLA_F3	10:102473563-102473671	288	9111
MEDAL-115_PLA_F3	10:102490410-102490581	100	6972
MEDAL-115_PLA_F3	10:102497349-102497526	36	5616
MEDAL-115_PLA_F3	10:102508461-102508539	38	1489
MEDAL-115_PLA_F3	10:102586065-102586260	346	12570
MEDAL-115_PLA_F3	10:102894041-102894306	485	34708
MEDAL-115_PLA_F3	10:102894942-102895064	37	7139
MEDAL-115_PLA_F3	10:102900187-102900293	151	2825
MEDAL-115_PLA_F3	10:102984616-102984731	661	21059
MEDAL-115_PLA_F3	10:102988089-102988247	547	10161
MEDAL-115_PLA_F3	10:105036553-105036783	48	17439
MEDAL-115_PLA_F3	10:106400391-106400708	221	12896
MEDAL-115_PLA_F3	10:118031477-118031553	19	1824
MEDAL-115_PLA_F3	10:118032350-118032503	155	15960
MEDAL-115_PLA_F3	10:118892465-118892644	510	15931
MEDAL-115_PLA_F3	10:118897728-118897878	986	18428
MEDAL-115_PLA_F3	10:119294886-119295082	80	9995
MEDAL-115_PLA_F3	10:119301596-119301834	427	11316
MEDAL-115_PLA_F3	10:119303058-119303131	12	1087
MEDAL-115_PLA_F3	10:124907378-124907415	22	908
MEDAL-115_PLA_F3	10:128076151-128076239	50	1836
MEDAL-115_PLA_F3	10:130339838-130339900	23	314
MEDAL-115_PLA_F3	10:131767858-131767908	25	391
MEDAL-115_PLA_F3	10:133999950-134000274	306	11363
MEDAL-115_PLA_F3	10:134599667-134599866	67	5576
MEDAL-115_PLA_F3	10:135043942-135044063	31	5207
MEDAL-115_PLA_F3	11:1769895-1770135	166	8111
MEDAL-115_PLA_F3	11:2291477-2291658	175	6743
MEDAL-115_PLA_F3	11:6280426-6280665	156	12519
MEDAL-115_PLA_F3	11:7273614-7273687	61	8469
MEDAL-115_PLA_F3	11:12030017-12030553	208	21866
MEDAL-115_PLA_F3	11:17565718-17565853	592	2880
MEDAL-115_PLA_F3	11:19367071-19367201	221	5061
MEDAL-115_PLA_F3	11:20182156-20182265	261	3156
MEDAL-115_PLA_F3	11:20185103-20185247	66	5650
MEDAL-115_PLA_F3	11:20619005-20619053	63	2039
MEDAL-115_PLA_F3	11:20692044-20692222	252	7118
MEDAL-115_PLA_F3	11:24518220-24518587	315	16840
MEDAL-115_PLA_F3	11:27743575-27743786	26	6237
MEDAL-115_PLA_F3	11:30605930-30606321	359	53327
MEDAL-115_PLA_F3	11:30607276-30607533	35	11780
MEDAL-115_PLA_F3	11:31826553-31826745	316	7910
MEDAL-115_PLA_F3	11:31832856-31832889	43	3880
MEDAL-115_PLA_F3	11:31836193-31836352	277	7797
MEDAL-115_PLA_F3	11:31838520-31838571	6	733
MEDAL-115_PLA_F3	11:31839516-31839675	182	9764
MEDAL-115_PLA_F3	11:31841422-31841697	755	15202
MEDAL-115_PLA_F3	11:32455009-32455149	279	3728
MEDAL-115_PLA_F3	11:32457718-32457884	78	8439
MEDAL-115_PLA_F3	11:43596380-43596600	84	3425
MEDAL-115_PLA_F3	11:44330734-44331010	244	22011
MEDAL-115_PLA_F3	11:44332310-44332897	2980	42371
MEDAL-115_PLA_F3	11:46938437-46938719	26	8786
MEDAL-115_PLA_F3	11:49229870-49230106	68	15013
MEDAL-115_PLA_F3	11:58694945-58695099	35	1917
MEDAL-115_PLA_F3	11:64480518-64480651	236	4631
MEDAL-115_PLA_F3	11:64513125-64513295	70	7242
MEDAL-115_PLA_F3	11:66326684-66326919	1441	14298
MEDAL-115_PLA_F3	11:69634323-69634542	298	11429
MEDAL-115_PLA_F3	11:74178109-74178215	31	2324
MEDAL-115_PLA_F3	11:91958290-91958409	58	4258
MEDAL-115_PLA_F3	11:92703141-92703224	367	2948
MEDAL-115_PLA_F3	11:94134558-94134700	189	11692
MEDAL-115_PLA_F3	11:105481455-105481563	38	2127
MEDAL-115_PLA_F3	11:111411590-111411692	53	4477
MEDAL-115_PLA_F3	11:112832846-112833015	44	10942
MEDAL-115_PLA_F3	11:115630718-115630927	120	13916
MEDAL-115_PLA_F3	11:119292685-119292712	254	4829
MEDAL-115_PLA_F3	11:120434904-120435062	594	6632
MEDAL-115_PLA_F3	11:124709629-124709954	61	11343
MEDAL-115_PLA_F3	11:124735882-124736062	50	5086
MEDAL-115_PLA_F3	11:128556606-128556747	113	2260
MEDAL-115_PLA_F3	11:128562857-128562929	4	1076
MEDAL-115_PLA_F3	11:128564713-128564936	42	9269
MEDAL-115_PLA_F3	11:130297397-130297629	355	12026
MEDAL-115_PLA_F3	11:131781075-131781189	13	4653
MEDAL-115_PLA_F3	11:133938752-133939238	150	33555
MEDAL-115_PLA_F3	12:3602281-3602443	97	6415
MEDAL-115_PLA_F3	12:5018333-5018513	108	2587
MEDAL-115_PLA_F3	12:5019428-5019638	123	24573
MEDAL-115_PLA_F3	12:8548930-8549015	250	6873
MEDAL-115_PLA_F3	12:15475534-15475703	197	16205
